word,score
onanir,11.03356629
je,-18.71806822
genkud,31.03182945
rag,-51.67389928
tojo,-61.77303455
uc,0.859021011
pojpo,-51.57479786
jo,-84.5797894
fudtig,90.84148012
buzug,31.44047595
gil,-34.26830703
rim,25.23082349
mofa,90.88718717
mi,21.60661683
agoved,-69.25273948
sucjefu,82.29215184
seljebpi,48.99147027
bepih,-21.39594471
zam,-68.52146873
uspit,47.13789287
sujbo,69.94622325
zo,-29.61299113
osiide,-31.23841768
pepihem,-86.8911065
jekam,82.30040103
udda,-37.37180247
ha,93.8238608
osewato,29.04638041
bewhaos,-13.2826439
guguow,90.80898454
jaj,-83.07209644
go,-38.04976048
lun,81.30282014
zom,-77.5592812
aldawdi,-42.28416968
susikseh,-94.92008942
ute,-30.16156664
gan,-38.67285483
sila,-69.48530258
okari,99.7561099
rabepnur,-71.86621114
efu,23.15977237
morpetul,16.31515288
wocsokge,-14.58966994
kinbo,93.60103862
de,-83.3835965
uhamiv,-56.10752963
nak,15.40648903
ha,12.42868016
webpop,-44.01676075
duv,82.75314288
ewanutu,58.06026222
gocgizi,-8.998949258
hu,56.99442567
culajuc,-10.22326975
nufcuwli,-32.96247276
rurpi,-0.855094301
kawon,49.64392887
kol,-61.49899944
uzi,-47.97409871
ipomu,0.486842836
heruzla,36.52960753
seg,-75.21681837
tekavcus,0.408895478
zot,-61.19471257
pupzud,24.16697253
bolfa,-85.99441884
ejigaama,-2.07934805
terjuk,0.024951635
segdife,6.924323663
tibfoto,50.40362748
aho,32.13277689
avkelew,-52.83298587
nab,25.74161997
bowno,-37.84010416
sukwib,76.72026809
hiuzivul,-28.1482848
ti,-91.50638606
varvidon,76.55231768
wukroz,58.14688772
vapdicubu,-57.10502654
bob,70.80771036
gikad,-36.00428829
vihfapza,10.49756495
inagen,4.238511135
zettogit,86.40869453
apwad,42.96440323
co,87.07736145
bejkiw,31.63748695
eztehu,29.9319892
agojo,35.34503209
fiiba,-29.30621028
egunecti,50.60436023
mow,41.57204016
lip,-11.09903127
su,46.88968377
ibhoj,-32.30483189
jatbaw,2.117381411
pus,-88.96109969
zowpa,-75.13774725
ja,-82.51034644
sihra,-73.23661185
das,59.718617
hahurma,-92.28786288
zehaji,62.0933739
newpihe,86.18717306
jumihow,75.18994587
wocfigmur,99.24439608
lufwoj,-88.30542452
gipenohe,-78.53762748
du,27.96234674
suboz,-57.29805324
ibcu,51.46517435
tihaduf,-12.85831041
co,-73.94845163
ziv,-0.239029955
wa,-78.27323196
duw,83.79215171
kis,-2.134041257
meibpag,71.2480223
cofa,-91.8998163
ewomu,86.17778744
mubebzep,-89.65273654
anide,68.06556605
enafun,-64.29887578
suzu,57.68187942
cobjeje,69.49547806
acvavvi,8.238357708
tenjokaz,1.794187471
bis,-84.76215076
langov,48.96542494
uhumgu,13.3142598
gavoc,-79.85470057
upka,14.67607984
laviteji,41.81961678
ba,94.3322799
orci,-64.96124181
dogav,-79.71325785
volfe,13.9060185
om,-17.09926784
ripe,-14.37985647
pedru,-48.51164989
eco,56.84080281
er,31.32354296
zu,18.57655533
askid,-74.80869253
fubek,1.844508967
garo,63.97350974
pa,72.43098677
tueniama,54.07387552
jahigon,87.04230891
li,-18.99757834
sakij,87.21115193
heplupa,-46.19947212
emieb,-52.98568386
re,-46.05123723
dapzot,-40.40258331
se,-28.34484945
je,-84.22969359
lucoctak,-22.82445877
nudo,-32.10938735
iru,-93.01560236
ibbafat,-80.04990387
gazgo,-32.39722772
ekgop,-87.8797381
pobag,96.78619419
gulsikol,-17.27966214
ismo,78.62562856
wij,-17.65419358
taga,-56.88477305
ze,66.03361969
edunu,-46.98572191
suga,22.3470015
ofme,-2.957406143
ren,-63.91082914
tid,92.8166717
puf,-44.83197303
jacdi,23.03011238
vel,80.20354545
secej,45.84710658
fizje,-39.53068611
edce,68.67775213
keg,-42.24019704
nipwer,67.88859523
semotora,-93.55735683
zel,-9.133109125
vefo,-44.60575941
ceju,-96.44189546
va,13.70677549
muhaz,82.82139044
urright,58.32230808
je,-20.79437303
od,-68.48708562
nele,-55.7484593
hijaheb,13.638445
mucovewa,98.63767079
ze,67.47461419
sobaji,-39.37591277
vazjar,26.13040777
caprimnub,-94.66779417